Unnamed: 0,question,answer,questions_german,answers_german
1321,what do you need to do?,i need to withdraw some money.,Was müssen Sie tun?,ich muss ein paar Geld zurückziehen.
1322,i need to withdraw some money.,how are you going to do that?,ich muss ein paar Geld zurückziehen.,Wie werden Sie das tun?
1323,how are you going to do that?,i'll just use the atm.,Wie werden Sie das tun?,ich werde nur die Atm benutzen.
1324,i'll just use the atm.,what's that?,ich werde nur die Atm benutzen.,Was ist das?
1325,what's that?,it's the automatic teller machine.,Was ist das?,Es ist die Automatentellermaschine.
1326,it's the automatic teller machine.,it gives you money?,Es ist die Automatentellermaschine.,es gibt Ihnen Geld?
1327,it gives you money?,i just insert my debit card into the machine.,es gibt Ihnen Geld?,ich habe meine Debitkarte einfach in die Maschine eingelegt.
1328,i just insert my debit card into the machine.,and it gives you money?,ich habe meine Debitkarte einfach in die Maschine eingelegt.,und es gibt Ihnen Geld?
1329,and it gives you money?,"well, it gives me money, but it's my own money.",und es gibt Ihnen Geld?,"es gibt mir Geld, aber es ist mein eigenes Geld."
1330,"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.,"es gibt mir Geld, aber es ist mein eigenes Geld.","oh, was ist das?"
1331,did you put the blue bin out on the street?,"oh, no. i forgot.",hatt ihr den blauen Bin auf die Straße gelegt?,"oh, nein, ich habe vergessen."
1332,"oh, no. i forgot.","well, you'd better take it out front.","oh, nein, ich habe vergessen.","es ist gut, man würde es besser aus der Vorderseite nehmen."
1333,"well, you'd better take it out front.",what time does the recycle truck come by?,"es ist gut, man würde es besser aus der Vorderseite nehmen.",Welche Zeit kommt der Recycling-LKW?
1334,what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow.",Welche Zeit kommt der Recycling-LKW?,"es kommt gewöhnlich am Dienstag, den nächsten Tag, um Mittag, n"
1335,"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.,"es kommt gewöhnlich am Dienstag, den nächsten Tag, um Mittag, n",ich werde es morgen morgen morgen auf die Straße nehmen.
1336,i'll just take it out to the street tomorrow morning.,"oh, no, you don't.",ich werde es morgen morgen morgen auf die Straße nehmen.,"oh, nein, du tust es nicht."
1337,"oh, no, you don't.",what do you mean?,"oh, nein, du tust es nicht.",Was meinen Sie?
1338,what do you mean?,every morning you get up late and rush off to work late.,Was meinen Sie?,Jeden Morgen steigen Sie spät auf und eilen sich in die späte Arbeit
1339,every morning you get up late and rush off to work late.,do you think i'll forget to do it?,Jeden Morgen steigen Sie spät auf und eilen sich in die späte Arbeit,ich halte es für ok?
1340,do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it.",ich halte es für ok?,"Sie werden sich daran erinnern, es zu tun, aber Sie haben keine Zeit,"
1341,"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now.","Sie werden sich daran erinnern, es zu tun, aber Sie haben keine Zeit,",ich nehme es jetzt aus der Hand.
1342,are you ready?,ready for what?,Sind Sie bereit?,bereit für was?
1343,ready for what?,ready for the big switch.,bereit für was?,fertig für den großen Schalter.
1344,ready for the big switch.,what are you talking about?,fertig für den großen Schalter.,wovon sprechen Sie?
1345,what are you talking about?,the nation is switching to digital tv.,wovon sprechen Sie?,die Nation ist in digitales Fernsehen umgestiegen.
1346,the nation is switching to digital tv.,oh. of course i'm ready.,die Nation ist in digitales Fernsehen umgestiegen.,"oh, natürlich bin ich bereit."
1347,oh. of course i'm ready.,did you buy the converter?,"oh, natürlich bin ich bereit.",Haben Sie den Konverter gekauft?
1348,did you buy the converter?,"no, i don't need a converter because i bought a digital tv.",Haben Sie den Konverter gekauft?,"ich habe ein bisschen gesehen, aber ich habe es nicht geschafft"
1349,"no, i don't need a converter because i bought a digital tv.",how much was that?,"ich habe ein bisschen gesehen, aber ich habe es nicht geschafft",wie viel war das?
1350,how much was that?,it was only about $120 for a 13-inch screen.,wie viel war das?,es war nur etwa 120 $ für einen 13 Zoll Bildschirm.
1351,it was only about $120 for a 13-inch screen.,does it pick up any digital channels?,es war nur etwa 120 $ für einen 13 Zoll Bildschirm.,nimmt er digitale Kanäle auf?
1352,does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!",nimmt er digitale Kanäle auf?,"oh, ja, ich erhalte sechs korean Channels,"
1353,people are funny.,they sure are.,Leute sind lustig.,Sie sind sicher.
1354,they sure are.,did you hear about the pilot?,Sie sind sicher.,hatt ihr von dem Piloten gesprochen?
1355,did you hear about the pilot?,the one that stole a small plane?,hatt ihr von dem Piloten gesprochen?,"die eine, die ein kleines Flugzeug gestohlen hat?"
1356,the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s.","die eine, die ein kleines Flugzeug gestohlen hat?","ja, er stolperte ein Flugzeug in Kanada und flog"
1357,"yes, he stole a plane in canada and flew into the u.s.",did they catch him?,"ja, er stolperte ein Flugzeug in Kanada und flog",hat er gefangen?
1358,did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",hat er gefangen?,"Ja, nachdem ihm zwei U.S.-Kampfflugzeuge eine Stunde"
1359,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?,"Ja, nachdem ihm zwei U.S.-Kampfflugzeuge eine Stunde",hat er abstürzt?
1360,did he crash?,"no, he just landed the plane and walked to a restaurant.",hat er abstürzt?,"Nein, er landete gerade das Flugzeug und ging zu einem Restaurant."
1361,"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?,"Nein, er landete gerade das Flugzeug und ging zu einem Restaurant.","hat die Polizei herausgefunden, warum er in die USA fliegt"
1362,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.,"hat die Polizei herausgefunden, warum er in die USA fliegt","er hoffte, dass ein Kampfflugzeug ihn niederschießen würde."
1363,his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.,"er hoffte, dass ein Kampfflugzeug ihn niederschießen würde.","Sehr freundliches Personal, freundliches Personal, freundliches Personal"
1364,the police need our help finding a robber.,how do you know?,die Polizei braucht unsere Hilfe bei der Suche nach einem Raub.,Wie wissen Sie?
1365,how do you know?,the tv news is reporting a bank robbery.,Wie wissen Sie?,Die Fernsehnachrichten berichten einen Bankraub.
1366,the tv news is reporting a bank robbery.,do they know what the robber looks like?,Die Fernsehnachrichten berichten einen Bankraub.,"Wissen sie, wie der Räuber aussehen soll?"
1367,do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.","Wissen sie, wie der Räuber aussehen soll?","ja, er ist 6 Meter hoch, 200 Pfund, schwarzes Haar,"
1368,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?,"ja, er ist 6 Meter hoch, 200 Pfund, schwarzes Haar,",Welche Rasse ist er?
1369,what race is he?,they didn't say.,Welche Rasse ist er?,ich habe es nicht gesagt.
1370,they didn't say.,the tv news doesn't tell us the race anymore.,ich habe es nicht gesagt.,die Fernsehnachrichten sagen uns nicht mehr das Rennen.
1371,the tv news doesn't tell us the race anymore.,of course not. that would be racist.,die Fernsehnachrichten sagen uns nicht mehr das Rennen.,Natürlich nicht. das wäre rassistischer Natur.
1372,of course not. that would be racist.,but how can we identify someone if we don't know their race?,Natürlich nicht. das wäre rassistischer Natur.,"aber wie können wir jemanden identifizieren, wenn wir nicht wissen,"
1373,but how can we identify someone if we don't know their race?,don't ask me.,"aber wie können wir jemanden identifizieren, wenn wir nicht wissen,",fragen Sie mich nicht.
1374,don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist.",fragen Sie mich nicht.,"dann sollten sie uns auch nicht sagen, ob der Rauber männlich"
1375,don't wipe your nose on your sleeve.,but i don't have a tissue.,trocknen Sie nicht die Nase auf Ihrem rmel.,ich habe kein Gewebe.
1376,but i don't have a tissue.,then go find a tissue in the bathroom.,ich habe kein Gewebe.,dann finden Sie ein Gewebe im Badezimmer.
1377,then go find a tissue in the bathroom.,i didn't have time to get one from there.,dann finden Sie ein Gewebe im Badezimmer.,"ich habe nicht Zeit, eine von dort zu bekommen."
1378,i didn't have time to get one from there.,your sleeves are not tissues.,"ich habe nicht Zeit, eine von dort zu bekommen.",Ihre rmel sind keine Gewebe.
1379,your sleeves are not tissues.,"but mom, all my friends use their sleeves.",Ihre rmel sind keine Gewebe.,"aber Mama, alle meine Freunde verwenden ihre rmel."
1380,"but mom, all my friends use their sleeves.",that doesn't make it right.,"aber Mama, alle meine Freunde verwenden ihre rmel.",", dass es nicht richtig macht."
1381,that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.,", dass es nicht richtig macht.","ich sah, dass ich gestern den Vater sah, seine"
1382,i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.,"ich sah, dass ich gestern den Vater sah, seine",Ich werde mit Ihrem Vater darüber sprechen.
1383,i will talk to your father about that.,i bet dad did it all the time when he was my age.,Ich werde mit Ihrem Vater darüber sprechen.,"ich wette, dass es der Vater immer tat, als"
1384,i bet dad did it all the time when he was my age.,your daddy was a good little boy.,"ich wette, dass es der Vater immer tat, als",Ihr Daddy war ein guter Junge.
1385,your daddy was a good little boy.,"how do you know? were you his mommy, too?",Ihr Daddy war ein guter Junge.,"Wie weisst du, waren du auch seine Mutter?"
1386,i'm worried.,worried about what?,ich bin besorgt.,Sorgen über was?
1387,worried about what?,i'm getting married.,Sorgen über was?,ich bin verheiratet.
1388,i'm getting married.,"you should be happy, not worried.",ich bin verheiratet.,"Sie sollten glücklich sein, nicht besorgt sein."
1389,"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility.","Sie sollten glücklich sein, nicht besorgt sein.","Ich bin glücklich, aber die Ehe ist eine große Verantwortung."
1390,"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife.","Ich bin glücklich, aber die Ehe ist eine große Verantwortung.","ja, Sie müssen sich um Ihre Frau kümmern."
1391,"yes, you have to take care of your wife.",and i have to take care of our children.,"ja, Sie müssen sich um Ihre Frau kümmern.",und ich muss uns um unsere Kinder kümmern.
1392,and i have to take care of our children.,are you going to start a family?,und ich muss uns um unsere Kinder kümmern.,Werden Sie eine Familie gründen?
1393,are you going to start a family?,yes. we want to have a little boy and a little girl.,Werden Sie eine Familie gründen?,"Ja, wir wollen einen kleinen Jungen und ein kleines Mädchen haben."
1394,yes. we want to have a little boy and a little girl.,that sounds wonderful.,"Ja, wir wollen einen kleinen Jungen und ein kleines Mädchen haben.",Das klingt wunderbar.
1395,that sounds wonderful.,except we can't afford it!,Das klingt wunderbar.,Leider haben wir es nicht geschafft!
1396,except we can't afford it!,no wonder you're worried.,Leider haben wir es nicht geschafft!,"ich stelle fest, dass ich es nicht erlaube,"
1397,i don't get art.,or artists.,ich habe keine Kunst.,oder Künstler.
1398,or artists.,they're in a different world.,oder Künstler.,Sie sind in einer anderen Welt.
1399,they're in a different world.,i saw a painting of a jar that was full of pencils.,Sie sind in einer anderen Welt.,"ich sah ein Bild eines Gültigers, der voller"
1400,i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.,"ich sah ein Bild eines Gültigers, der voller","der Künstler sagte, der Grün sei sowohl voll als auch leer."
1401,the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?,"der Künstler sagte, der Grün sei sowohl voll als auch leer.","ich habe es nicht geschafft, ich habe es nicht geschafft"
1402,but it was full of pencils! how could he say it was empty?,artists see things differently.,"ich habe es nicht geschafft, ich habe es nicht geschafft",Künstler sehen die Dinge anders.
1403,artists see things differently.,did you ever see anything that picasso painted?,Künstler sehen die Dinge anders.,"hatt ihr je etwas gesehen, das picasso malt?"
